,Company,Location,Description,web_name,URL,Founders,LinkedIn,Season,Other Tags,Email
0,Alacrity,"San Francisco, CA, USA",AI Based Account Takeover Prevention Platform,alacrity,https://www.ycombinator.com/companies/alacrity,"['Omar Draz', 'Anderthan Hsieh']",https://www.linkedin.com/company/100487698/admin,W24,"['Active', 'identity', 'fraud-prevention', 'fraud-detection', 'San Francisco']",['founders@joinalacrity.com']
1,ParcelBio,"San Francisco, CA, USA",Next-generation mRNA medicines,parcelbio,https://www.ycombinator.com/companies/parcelbio,"['David Weinberg', 'Chris Carlson']",https://www.linkedin.com/company/parcelbio,W24,"['Active', 'gene-therapy', 'biotech', 'healthcare', 'drug-delivery', 'therapeutics', 'San Francisco']",['founders@parcelbio.com']
2,K-Scale Labs,"New York, NY, USA",Open-source humanoid robots,k-scale-labs,https://www.ycombinator.com/companies/k-scale-labs,"['Benjamin Bolte', 'Pawel Budzianowski', 'Matthew Freed']",https://www.linkedin.com/company/kscale/,W24,"['Active', 'artificial-intelligence', 'machine-learning', 'robotics', 'consumer', 'New York']",['ben@kscale.dev']
3,Marr Labs,"San Francisco, CA, USA",AI-voice agents that are indistinguishable from humans.,marr-labs,https://www.ycombinator.com/companies/marr-labs,"['Dave Grannan', 'Han Shu']",https://www.linkedin.com/company/marrlabs,W24,"['Active', 'artificial-intelligence', 'ai', 'ai-assistant', 'San Francisco']",['hello@marrlabs.com']
4,Forge Rewards,"San Francisco, CA, USA",All-in-one operations software to power restaurants,forge-rewards,https://www.ycombinator.com/companies/forge-rewards,"['Ethan Chang', 'Isaac Kan']",https://linkedin.com/company/forgerewards,W24,"['Active', 'fintech', 'food-tech', 'ai', 'San Francisco']",['founders@forgerewards.com']
5,FanCave,"Roeland Park, KS, USA",Powering the free agency of college sports,fancave,https://www.ycombinator.com/companies/fancave,"['Luke Bogus', 'Nick Siscoe']",https://www.linkedin.com/company/fancave/,W24,"['Active', 'marketplace', 'sports-tech', 'consumer', 'entertainment']",['hello@fancave.me']
6,RetailReady,,An AI-powered supply chain compliance engine,retailready,https://www.ycombinator.com/companies/retailready,"['Elle Smyth', 'Sarah Hamer']",https://www.linkedin.com/company/retailreadyai/,W24,"['Active', 'b2b', 'compliance', 'logistics', 'supply-chain', 'ai']",['founders@retailreadyai.com']
7,Million,"San Francisco, CA, USA","Make websites fast, automatically",million,https://www.ycombinator.com/companies/million,"['Aiden Bai', 'Nisarg Patel', 'John Yang']",https://linkedin.com/in/aidenbai,W24,"['Active', 'developer-tools', 'open-source', 'web-development', 'ai-assistant', 'ml', 'San Francisco']",[]
8,NowHouse,,NowHouse is building a new Broadridge.,nowhouse,https://www.ycombinator.com/companies/nowhouse,['Dhaval Gajiwala'],https://www.linkedin.com/company/nowhouseio/,W24,"['Active', 'artificial-intelligence', 'fintech', 'saas', 'enterprise', 'infrastructure']",['dhaval@nowhouse.io']
9,Crux,,Embedded AI Copilots on Structured Data,crux,https://www.ycombinator.com/companies/crux,"['Himank Jain', 'Atharva Padhye', 'Prabhat Singh']",https://www.linkedin.com/company/getcruxai/,W24,['Active'],[]
